profile,weights,strategy,score,excluded_reason,cost_mln,service,capex_mln
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,Earth-New 2035/2036,0.868,,8998,1,360
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,Earth-New 2035/2035,0.868,,8991,1,360
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + Earth-New 2036/2037,0.868,,8981,1,540
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + Earth-New 2036/2037,0.865,,8991,1,540
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,Earth-New 2036/2037,0.858,,9084,1,360
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2037 + Earth-New 2036/2037,0.839,,8907,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + ISRU 2037 + Earth-New 2036/2037,0.836,,8916,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ISRU 2037 + Earth-New 2036/2037,0.835,,8962,1,1610
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2037 + Earth-New 2035/2036,0.833,,8929,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2037 + Earth-New 2035/2035,0.831,,8933,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + ISRU 2037 + Earth-New 2035/2036,0.831,,8939,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ISRU 2037 + Earth-New 2035/2036,0.83,,8984,1,1610
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ISRU 2037 + Earth-New 2035/2035,0.83,,8978,1,1610
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + ISRU 2037 + Earth-New 2035/2035,0.829,,8942,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2036 + Earth-New 2036/2037,0.821,,8983,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + ISRU 2036 + Earth-New 2036/2037,0.818,,8993,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ISRU 2036 + Earth-New 2036/2037,0.817,,9038,1,1610
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2036 + Earth-New 2035/2036,0.815,,9006,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2036 + ISRU 2036 + Earth-New 2035/2035,0.813,,9009,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ZBO 2037 + ISRU 2036 + Earth-New 2035/2036,0.813,,9015,1,1790
Поставщики,cost:0.15 service:0.2 flexibility:0.05 capex:0.1 resilience:0.5,ISRU 2036 + Earth-New 2035/2036,0.812,,9061,1,1610
